Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
1,Henry IV,,,,ACT I
2,Henry IV,,,,SCENE I. London. The palace.
3,Henry IV,,,,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others"
4,Henry IV,1,1.1.1,KING HENRY IV,"So shaken as we are, so wan with care,"
5,Henry IV,1,1.1.2,KING HENRY IV,"Find we a time for frighted peace to pant,"
6,Henry IV,1,1.1.3,KING HENRY IV,And breathe short-winded accents of new broils
7,Henry IV,1,1.1.4,KING HENRY IV,To be commenced in strands afar remote.
8,Henry IV,1,1.1.5,KING HENRY IV,No more the thirsty entrance of this soil
9,Henry IV,1,1.1.6,KING HENRY IV,"Shall daub her lips with her own children's blood,"
10,Henry IV,1,1.1.7,KING HENRY IV,"Nor more shall trenching war channel her fields,"
11,Henry IV,1,1.1.8,KING HENRY IV,Nor bruise her flowerets with the armed hoofs
12,Henry IV,1,1.1.9,KING HENRY IV,"Of hostile paces: those opposed eyes,"
13,Henry IV,1,1.1.10,KING HENRY IV,"Which, like the meteors of a troubled heaven,"
14,Henry IV,1,1.1.11,KING HENRY IV,"All of one nature, of one substance bred,"
15,Henry IV,1,1.1.12,KING HENRY IV,Did lately meet in the intestine shock
16,Henry IV,1,1.1.13,KING HENRY IV,And furious close of civil butchery
17,Henry IV,1,1.1.14,KING HENRY IV,"Shall now, in mutual well-beseeming ranks,"
18,Henry IV,1,1.1.15,KING HENRY IV,March all one way and be no more opposed
19,Henry IV,1,1.1.16,KING HENRY IV,"Against acquaintance, kindred and allies:"
20,Henry IV,1,1.1.17,KING HENRY IV,"The edge of war, like an ill-sheathed knife,"
21,Henry IV,1,1.1.18,KING HENRY IV,"No more shall cut his master. Therefore, friends,"
22,Henry IV,1,1.1.19,KING HENRY IV,"As far as to the sepulchre of Christ,"
23,Henry IV,1,1.1.20,KING HENRY IV,"Whose soldier now, under whose blessed cross"
24,Henry IV,1,1.1.21,KING HENRY IV,"We are impressed and engaged to fight,"
25,Henry IV,1,1.1.22,KING HENRY IV,"Forthwith a power of English shall we levy,"
26,Henry IV,1,1.1.23,KING HENRY IV,Whose arms were moulded in their mothers' womb
27,Henry IV,1,1.1.24,KING HENRY IV,To chase these pagans in those holy fields
28,Henry IV,1,1.1.25,KING HENRY IV,Over whose acres walk'd those blessed feet
29,Henry IV,1,1.1.26,KING HENRY IV,Which fourteen hundred years ago were nail'd
30,Henry IV,1,1.1.27,KING HENRY IV,For our advantage on the bitter cross.
31,Henry IV,1,1.1.28,KING HENRY IV,"But this our purpose now is twelve month old,"
32,Henry IV,1,1.1.29,KING HENRY IV,And bootless 'tis to tell you we will go:
33,Henry IV,1,1.1.30,KING HENRY IV,Therefore we meet not now. Then let me hear
34,Henry IV,1,1.1.31,KING HENRY IV,"Of you, my gentle cousin Westmoreland,"
35,Henry IV,1,1.1.32,KING HENRY IV,What yesternight our council did decree
36,Henry IV,1,1.1.33,KING HENRY IV,In forwarding this dear expedience.
37,Henry IV,2,1.1.34,WESTMORELAND,"My liege, this haste was hot in question,"
38,Henry IV,2,1.1.35,WESTMORELAND,And many limits of the charge set down
39,Henry IV,2,1.1.36,WESTMORELAND,But yesternight: when all athwart there came
40,Henry IV,2,1.1.37,WESTMORELAND,"A post from Wales loaden with heavy news,"
41,Henry IV,2,1.1.38,WESTMORELAND,"Whose worst was, that the noble Mortimer,"
42,Henry IV,2,1.1.39,WESTMORELAND,Leading the men of Herefordshire to fight
43,Henry IV,2,1.1.40,WESTMORELAND,"Against the irregular and wild Glendower,"
44,Henry IV,2,1.1.41,WESTMORELAND,"Was by the rude hands of that Welshman taken,"
45,Henry IV,2,1.1.42,WESTMORELAND,"A thousand of his people butchered,"
46,Henry IV,2,1.1.43,WESTMORELAND,"Upon whose dead corpse there was such misuse,"
47,Henry IV,2,1.1.44,WESTMORELAND,"Such beastly shameless transformation,"
48,Henry IV,2,1.1.45,WESTMORELAND,By those Welshwomen done as may not be
49,Henry IV,2,1.1.46,WESTMORELAND,Without much shame retold or spoken of.
50,Henry IV,3,1.1.47,KING HENRY IV,It seems then that the tidings of this broil
51,Henry IV,3,1.1.48,KING HENRY IV,Brake off our business for the Holy Land.
52,Henry IV,4,1.1.49,WESTMORELAND,"This match'd with other did, my gracious lord,"
53,Henry IV,4,1.1.50,WESTMORELAND,For more uneven and unwelcome news
54,Henry IV,4,1.1.51,WESTMORELAND,Came from the north and thus it did import:
55,Henry IV,4,1.1.52,WESTMORELAND,"On Holy-rood day, the gallant Hotspur there,"
56,Henry IV,4,1.1.53,WESTMORELAND,"Young Harry Percy and brave Archibald,"
57,Henry IV,4,1.1.54,WESTMORELAND,"That ever-valiant and approved Scot,"
58,Henry IV,4,1.1.55,WESTMORELAND,"At Holmedon met,"
59,Henry IV,4,1.1.56,WESTMORELAND,"Where they did spend a sad and bloody hour,"
60,Henry IV,4,1.1.57,WESTMORELAND,"As by discharge of their artillery,"
61,Henry IV,4,1.1.58,WESTMORELAND,"And shape of likelihood, the news was told,"
62,Henry IV,4,1.1.59,WESTMORELAND,"For he that brought them, in the very heat"
63,Henry IV,4,1.1.60,WESTMORELAND,"And pride of their contention did take horse,"
64,Henry IV,4,1.1.61,WESTMORELAND,Uncertain of the issue any way.
65,Henry IV,5,1.1.62,KING HENRY IV,"Here is a dear, a true industrious friend,"
66,Henry IV,5,1.1.63,KING HENRY IV,"Sir Walter Blunt, new lighted from his horse."
67,Henry IV,5,1.1.64,KING HENRY IV,Stain'd with the variation of each soil
68,Henry IV,5,1.1.65,KING HENRY IV,"Betwixt that Holmedon and this seat of ours,"
69,Henry IV,5,1.1.66,KING HENRY IV,And he hath brought us smooth and welcome news.
70,Henry IV,5,1.1.67,KING HENRY IV,The Earl of Douglas is discomfited:
71,Henry IV,5,1.1.68,KING HENRY IV,"Ten thousand bold Scots, two and twenty knights,"
72,Henry IV,5,1.1.69,KING HENRY IV,Balk'd in their own blood did Sir Walter see
73,Henry IV,5,1.1.70,KING HENRY IV,"On Holmedon's plains. Of prisoners, Hotspur took"
74,Henry IV,5,1.1.71,KING HENRY IV,"Mordake the Earl of Fife, and eldest son"
75,Henry IV,5,1.1.72,KING HENRY IV,"To beaten Douglas, and the Earl of Athol,"
76,Henry IV,5,1.1.73,KING HENRY IV,"Of Murray, Angus, and Menteith:"
77,Henry IV,5,1.1.74,KING HENRY IV,And is not this an honourable spoil?
78,Henry IV,5,1.1.75,KING HENRY IV,"A gallant prize? ha, cousin, is it not?"
79,Henry IV,6,1.1.76,WESTMORELAND,"In faith,"
80,Henry IV,6,1.1.77,WESTMORELAND,It is a conquest for a prince to boast of.
81,Henry IV,7,1.1.78,KING HENRY IV,"Yea, there thou makest me sad and makest me sin"
82,Henry IV,7,1.1.79,KING HENRY IV,In envy that my Lord Northumberland
83,Henry IV,7,1.1.80,KING HENRY IV,"Should be the father to so blest a son,"
84,Henry IV,7,1.1.81,KING HENRY IV,"A son who is the theme of honour's tongue,"
85,Henry IV,7,1.1.82,KING HENRY IV,"Amongst a grove, the very straightest plant,"
86,Henry IV,7,1.1.83,KING HENRY IV,Who is sweet Fortune's minion and her pride:
87,Henry IV,7,1.1.84,KING HENRY IV,"Whilst I, by looking on the praise of him,"
88,Henry IV,7,1.1.85,KING HENRY IV,See riot and dishonour stain the brow
89,Henry IV,7,1.1.86,KING HENRY IV,Of my young Harry. O that it could be proved
90,Henry IV,7,1.1.87,KING HENRY IV,That some night-tripping fairy had exchanged
91,Henry IV,7,1.1.88,KING HENRY IV,"In cradle-clothes our children where they lay,"
92,Henry IV,7,1.1.89,KING HENRY IV,"And call'd mine Percy, his Plantagenet!"
93,Henry IV,7,1.1.90,KING HENRY IV,"Then would I have his Harry, and he mine."
94,Henry IV,7,1.1.91,KING HENRY IV,"But let him from my thoughts. What think you, coz,"
95,Henry IV,7,1.1.92,KING HENRY IV,"Of this young Percy's pride? the prisoners,"
96,Henry IV,7,1.1.93,KING HENRY IV,"Which he in this adventure hath surprised,"
97,Henry IV,7,1.1.94,KING HENRY IV,"To his own use he keeps, and sends me word,"
98,Henry IV,7,1.1.95,KING HENRY IV,I shall have none but Mordake Earl of Fife.
99,Henry IV,8,1.1.96,WESTMORELAND,"This is his uncle's teaching, this is Worcester,"
